CMDLINE /usr/bin/python3 scraper_sync.py
MEM 5.710938 1732570426.2727
MEM 25.707031 1732570426.3729
MEM 30.339844 1732570426.4731
MEM 32.359375 1732570426.5733
MEM 32.359375 1732570426.6735
MEM 32.687500 1732570426.7738
MEM 32.687500 1732570426.8740
MEM 33.460938 1732570426.9742
MEM 33.460938 1732570427.0744
MEM 33.460938 1732570427.1748
MEM 33.460938 1732570427.2750
MEM 33.460938 1732570427.3752
MEM 33.460938 1732570427.4754
MEM 33.460938 1732570427.5756
MEM 33.460938 1732570427.6759
MEM 33.460938 1732570427.7761
MEM 33.460938 1732570427.8763
MEM 33.460938 1732570427.9766
MEM 33.460938 1732570428.0770
MEM 33.460938 1732570428.1772
MEM 33.460938 1732570428.2773
MEM 33.460938 1732570428.3775
MEM 33.460938 1732570428.4778
MEM 33.460938 1732570428.5781
MEM 33.460938 1732570428.6784
MEM 33.460938 1732570428.7786
MEM 33.460938 1732570428.8788
MEM 33.460938 1732570428.9790
MEM 33.460938 1732570429.0794
MEM 33.460938 1732570429.1796
MEM 33.460938 1732570429.2798
MEM 33.460938 1732570429.3800
MEM 33.460938 1732570429.4802
MEM 33.460938 1732570429.5804
MEM 33.460938 1732570429.6806
MEM 33.460938 1732570429.7808
MEM 33.460938 1732570429.8810
MEM 33.460938 1732570429.9812
MEM 33.460938 1732570430.0814
MEM 33.460938 1732570430.1816
MEM 33.460938 1732570430.2818
MEM 33.460938 1732570430.3822
MEM 33.460938 1732570430.4825
MEM 33.460938 1732570430.5828
MEM 33.460938 1732570430.6830
MEM 33.460938 1732570430.7832
MEM 33.460938 1732570430.8834
MEM 33.460938 1732570430.9836
MEM 33.460938 1732570431.0838
MEM 33.460938 1732570431.1840
MEM 33.460938 1732570431.2844
MEM 33.460938 1732570431.3853
MEM 33.460938 1732570431.4854
MEM 33.460938 1732570431.5857
MEM 33.460938 1732570431.6860
MEM 33.460938 1732570431.7862
MEM 33.460938 1732570431.8864
MEM 33.460938 1732570431.9867
MEM 33.460938 1732570432.0870
MEM 33.460938 1732570432.1872
MEM 33.460938 1732570432.2874
MEM 33.460938 1732570432.3876
MEM 33.460938 1732570432.4878
MEM 33.460938 1732570432.5882
MEM 33.460938 1732570432.6884
MEM 33.460938 1732570432.7886
MEM 33.460938 1732570432.8888
MEM 33.460938 1732570432.9890
MEM 33.460938 1732570433.0893
MEM 33.460938 1732570433.1896
MEM 33.460938 1732570433.2900
MEM 33.460938 1732570433.3903
MEM 33.460938 1732570433.4906
MEM 33.460938 1732570433.5909
MEM 33.460938 1732570436.6248
MEM 33.460938 1732570436.7251
MEM 33.460938 1732570436.8253
MEM 33.460938 1732570436.9257
MEM 33.460938 1732570437.0259
MEM 33.460938 1732570437.1261
MEM 33.460938 1732570437.2263
MEM 33.460938 1732570437.3266
MEM 33.460938 1732570437.4268
MEM 33.460938 1732570437.5269
MEM 33.460938 1732570437.6273
MEM 33.460938 1732570437.7275
MEM 33.460938 1732570437.8277
MEM 33.460938 1732570437.9279
MEM 33.460938 1732570438.0281
MEM 33.460938 1732570438.1285
MEM 33.460938 1732570438.2289
