CMDLINE /usr/bin/python3 scraper_async.py
MEM 5.562500 1732570500.3023
MEM 25.726562 1732570500.4025
MEM 43.066406 1732570500.5027
MEM 58.351562 1732570500.6029
MEM 60.933594 1732570500.7030
MEM 61.449219 1732570500.8032
MEM 61.703125 1732570500.9035
MEM 61.703125 1732570501.0037
MEM 61.703125 1732570501.1041
MEM 61.703125 1732570501.2043
MEM 61.703125 1732570501.3045
MEM 61.703125 1732570501.4047
MEM 61.703125 1732570501.5049
MEM 65.828125 1732570501.6051
MEM 66.343750 1732570501.7055
MEM 66.343750 1732570501.8060
MEM 66.343750 1732570501.9063
