CMDLINE /usr/bin/python3 scraper_multiprocessing.py
MEM 5.222656 1732570694.9808
MEM 26.746094 1732570695.0814
CHLD 1155 19.980469 1732570695.0823
CHLD 1156 19.968750 1732570695.0823
CHLD 1157 19.972656 1732570695.0823
CHLD 1158 19.972656 1732570695.0823
CHLD 1159 19.976562 1732570695.0823
CHLD 1160 19.976562 1732570695.0823
CHLD 1161 19.976562 1732570695.0824
CHLD 1162 19.906250 1732570695.0824
MEM 26.781250 1732570695.1826
CHLD 1155 26.238281 1732570695.1839
CHLD 1156 21.421875 1732570695.1839
CHLD 1157 26.910156 1732570695.1839
CHLD 1158 26.285156 1732570695.1839
CHLD 1159 21.527344 1732570695.1840
CHLD 1160 26.652344 1732570695.1840
CHLD 1161 26.312500 1732570695.1840
CHLD 1162 21.136719 1732570695.1840
CHLD 1163 26.664062 1732570695.1840
CHLD 1164 26.316406 1732570695.1840
CHLD 1165 21.140625 1732570695.1841
CHLD 1166 26.667969 1732570695.1841
CHLD 1167 26.320312 1732570695.1841
CHLD 1168 21.140625 1732570695.1841
CHLD 1169 26.664062 1732570695.1841
CHLD 1170 26.324219 1732570695.1841
MEM 26.781250 1732570695.2844
CHLD 1155 26.238281 1732570695.2852
CHLD 1156 21.734375 1732570695.2852
CHLD 1157 27.152344 1732570695.2852
CHLD 1158 26.285156 1732570695.2852
CHLD 1159 21.761719 1732570695.2852
CHLD 1160 27.156250 1732570695.2853
CHLD 1161 26.312500 1732570695.2853
CHLD 1162 21.757812 1732570695.2853
CHLD 1163 27.164062 1732570695.2853
CHLD 1164 26.316406 1732570695.2853
CHLD 1165 21.730469 1732570695.2853
CHLD 1166 27.164062 1732570695.2853
CHLD 1167 26.320312 1732570695.2853
CHLD 1168 21.730469 1732570695.2854
CHLD 1169 27.167969 1732570695.2854
CHLD 1170 26.324219 1732570695.2854
MEM 26.781250 1732570695.3857
CHLD 1155 26.238281 1732570695.3869
CHLD 1156 23.500000 1732570695.3869
CHLD 1157 27.152344 1732570695.3870
CHLD 1158 26.484375 1732570695.3870
CHLD 1159 21.761719 1732570695.3870
CHLD 1160 27.156250 1732570695.3870
CHLD 1161 26.496094 1732570695.3870
CHLD 1162 23.609375 1732570695.3870
CHLD 1163 27.164062 1732570695.3870
CHLD 1164 26.503906 1732570695.3870
CHLD 1165 21.812500 1732570695.3871
CHLD 1166 27.164062 1732570695.3871
CHLD 1167 26.519531 1732570695.3871
CHLD 1168 21.816406 1732570695.3871
CHLD 1169 27.167969 1732570695.3871
CHLD 1170 26.503906 1732570695.3871
MEM 26.781250 1732570695.4873
CHLD 1155 27.511719 1732570695.4881
CHLD 1156 27.062500 1732570695.4881
CHLD 1157 27.152344 1732570695.4881
CHLD 1158 27.546875 1732570695.4881
CHLD 1159 26.593750 1732570695.4881
CHLD 1160 27.570312 1732570695.4881
CHLD 1161 27.250000 1732570695.4881
CHLD 1162 27.050781 1732570695.4881
CHLD 1163 27.578125 1732570695.4882
CHLD 1164 27.578125 1732570695.4882
CHLD 1165 26.871094 1732570695.4882
CHLD 1166 27.582031 1732570695.4882
CHLD 1167 27.585938 1732570695.4882
CHLD 1168 26.011719 1732570695.4882
CHLD 1169 27.582031 1732570695.4882
CHLD 1170 27.257812 1732570695.4882
MEM 26.781250 1732570695.5884
CHLD 1155 27.511719 1732570695.5891
CHLD 1156 27.062500 1732570695.5891
CHLD 1157 27.566406 1732570695.5892
CHLD 1158 27.546875 1732570695.5892
CHLD 1159 27.093750 1732570695.5892
CHLD 1160 27.570312 1732570695.5892
CHLD 1161 27.578125 1732570695.5892
CHLD 1162 27.050781 1732570695.5893
CHLD 1163 27.578125 1732570695.5893
CHLD 1164 27.578125 1732570695.5893
CHLD 1165 27.117188 1732570695.5893
CHLD 1166 27.582031 1732570695.5893
CHLD 1167 27.585938 1732570695.5893
CHLD 1168 26.011719 1732570695.5893
CHLD 1169 27.582031 1732570695.5893
CHLD 1170 27.257812 1732570695.5893
MEM 26.781250 1732570695.6895
CHLD 1155 27.511719 1732570695.6903
CHLD 1156 27.492188 1732570695.6904
CHLD 1157 27.566406 1732570695.6904
CHLD 1158 27.546875 1732570695.6904
CHLD 1159 27.093750 1732570695.6904
CHLD 1160 27.570312 1732570695.6904
CHLD 1161 27.578125 1732570695.6904
CHLD 1162 27.500000 1732570695.6904
CHLD 1163 27.578125 1732570695.6904
CHLD 1164 27.578125 1732570695.6905
CHLD 1165 27.117188 1732570695.6905
CHLD 1166 27.582031 1732570695.6905
CHLD 1167 27.585938 1732570695.6905
CHLD 1168 26.011719 1732570695.6905
CHLD 1169 27.582031 1732570695.6905
CHLD 1170 27.257812 1732570695.6905
MEM 26.781250 1732570695.7907
CHLD 1155 27.511719 1732570695.7915
CHLD 1156 27.492188 1732570695.7915
CHLD 1157 27.566406 1732570695.7915
CHLD 1158 27.546875 1732570695.7915
CHLD 1159 27.515625 1732570695.7915
CHLD 1160 27.570312 1732570695.7915
CHLD 1161 27.578125 1732570695.7915
CHLD 1162 27.500000 1732570695.7915
CHLD 1163 27.578125 1732570695.7916
CHLD 1164 27.578125 1732570695.7916
CHLD 1165 27.542969 1732570695.7916
CHLD 1166 27.582031 1732570695.7916
CHLD 1167 27.585938 1732570695.7916
CHLD 1168 26.011719 1732570695.7916
CHLD 1169 27.582031 1732570695.7916
CHLD 1170 27.257812 1732570695.7916
MEM 26.781250 1732570695.8918
CHLD 1155 27.511719 1732570695.8925
CHLD 1156 27.492188 1732570695.8925
CHLD 1157 27.566406 1732570695.8926
CHLD 1158 27.546875 1732570695.8926
CHLD 1159 27.515625 1732570695.8926
CHLD 1160 27.570312 1732570695.8926
CHLD 1161 27.578125 1732570695.8926
CHLD 1162 27.500000 1732570695.8926
CHLD 1163 27.578125 1732570695.8926
CHLD 1164 27.578125 1732570695.8926
CHLD 1165 27.542969 1732570695.8926
CHLD 1166 27.582031 1732570695.8927
CHLD 1167 27.585938 1732570695.8927
CHLD 1168 27.125000 1732570695.8927
CHLD 1169 27.582031 1732570695.8927
CHLD 1170 27.585938 1732570695.8927
MEM 26.781250 1732570695.9931
CHLD 1155 27.511719 1732570695.9938
CHLD 1156 27.492188 1732570695.9938
CHLD 1157 27.566406 1732570695.9938
CHLD 1158 27.546875 1732570695.9938
CHLD 1159 27.515625 1732570695.9938
CHLD 1160 27.570312 1732570695.9939
CHLD 1161 27.578125 1732570695.9939
CHLD 1162 27.500000 1732570695.9939
CHLD 1163 27.578125 1732570695.9939
CHLD 1164 27.578125 1732570695.9939
CHLD 1165 27.542969 1732570695.9939
CHLD 1166 27.582031 1732570695.9939
CHLD 1167 27.585938 1732570695.9939
CHLD 1168 27.125000 1732570695.9939
CHLD 1169 27.582031 1732570695.9940
CHLD 1170 27.585938 1732570695.9940
